A	B	Interactor
AT5G60980	AT4G27000	1
AT1G43190	AT1G43190	1
AT4G26650	AT4G26650	1
AT4G26650	AT4G27000	1
AT4G26650	AT3G47120	1
AT3G53460	AT3G53460	1
AT3G53460	AT3G52150	1
AT3G52150	AT3G52150	1
AT4G27000	AT4G27000	1
AT4G27000	AT5G48650	1
AT4G36960	AT4G36960	1
AT4G36960	AT5G66010	1
AT5G66010	AT5G66010	1
AT5G48650	AT5G48650	1
